usd_xr,date
60.58190000,2017-08-03
60.75030000,2017-08-04
60.32810000,2017-08-05
60.32810000,2017-08-06
60.32810000,2017-08-07
60.06050000,2017-08-08
59.98860000,2017-08-09
59.96110000,2017-08-10
59.92980000,2017-08-11
60.18730000,2017-08-12
60.18730000,2017-08-13
60.18730000,2017-08-14
59.79900000,2017-08-15
59.92660000,2017-08-16
59.65210000,2017-08-17
59.24900000,2017-08-18
59.36120000,2017-08-19
59.36120000,2017-08-20
59.36120000,2017-08-21
59.14090000,2017-08-22
59.03960000,2017-08-23
59.13120000,2017-08-24
59.13970000,2017-08-25
59.14760000,2017-08-26
59.14760000,2017-08-27
59.14760000,2017-08-28
58.54690000,2017-08-29
58.53200000,2017-08-30
58.73060000,2017-08-31
58.54540000,2017-09-01
58.05570000,2017-09-02
58.05570000,2017-09-03
58.05570000,2017-09-04
57.78170000,2017-09-05
57.85030000,2017-09-06
57.33870000,2017-09-07
57.14110000,2017-09-08
56.99660000,2017-09-09
56.99660000,2017-09-10
56.99660000,2017-09-11
57.16940000,2017-09-12
57.26560000,2017-09-13
57.66790000,2017-09-14
57.77060000,2017-09-15
57.53360000,2017-09-16
57.53360000,2017-09-17
57.53360000,2017-09-18
57.62420000,2017-09-19
58.09930000,2017-09-20
58.12900000,2017-09-21
58.22420000,2017-09-22
57.65270000,2017-09-23
57.65270000,2017-09-24
57.65270000,2017-09-25
57.56600000,2017-09-26
57.51860000,2017-09-27
58.01020000,2017-09-28
58.42550000,2017-09-29
58.01690000,2017-09-30
58.01690000,2017-10-01
58.01690000,2017-10-02
57.81340000,2017-10-03
57.93750000,2017-10-04
57.78320000,2017-10-05
57.58110000,2017-10-06
57.76120000,2017-10-07
57.76120000,2017-10-08
57.76120000,2017-10-09
58.31510000,2017-10-10
58.07130000,2017-10-11
57.92100000,2017-10-12
57.68690000,2017-10-13
57.61960000,2017-10-14
57.61960000,2017-10-15
57.61960000,2017-10-16
57.08610000,2017-10-17
57.33920000,2017-10-18
57.27210000,2017-10-19
57.57060000,2017-10-20
57.51180000,2017-10-21
57.51180000,2017-10-22
57.51180000,2017-10-23
57.47060000,2017-10-24
57.58520000,2017-10-25
57.61400000,2017-10-26
57.76430000,2017-10-27
58.08330000,2017-10-28
58.08330000,2017-10-29
58.08330000,2017-10-30
57.87160000,2017-10-31
58.11790000,2017-11-01
58.15570000,2017-11-02
58.08690000,2017-11-03
58.42960000,2017-11-04
58.42960000,2017-11-05
58.42960000,2017-11-06
58.42960000,2017-11-07
58.45570000,2017-11-08
59.24800000,2017-11-09
59.25270000,2017-11-10
59.28080000,2017-11-11
59.28080000,2017-11-12
59.28080000,2017-11-13
59.18230000,2017-11-14
59.62070000,2017-11-15
60.24900000,2017-11-16
59.98980000,2017-11-17
59.63250000,2017-11-18
59.63250000,2017-11-19
59.63250000,2017-11-20
59.27460000,2017-11-21
59.46040000,2017-11-22
59.00610000,2017-11-23
58.46220000,2017-11-24
58.53180000,2017-11-25
58.53180000,2017-11-26
58.53180000,2017-11-27
58.27730000,2017-11-28
58.41250000,2017-11-29
58.33110000,2017-11-30
58.58140000,2017-12-01
58.51820000,2017-12-02
58.51820000,2017-12-03
58.51820000,2017-12-04
58.99110000,2017-12-05
58.69240000,2017-12-06
58.92810000,2017-12-07
59.29480000,2017-12-08
59.28110000,2017-12-09
59.28110000,2017-12-10
59.28110000,2017-12-11
59.23480000,2017-12-12
58.83700000,2017-12-13
59.14460000,2017-12-14
58.70820000,2017-12-15
58.89870000,2017-12-16
58.89870000,2017-12-17
58.89870000,2017-12-18
58.69400000,2017-12-19
58.61170000,2017-12-20
58.71700000,2017-12-21
58.55960000,2017-12-22
58.31520000,2017-12-23
58.31520000,2017-12-24
58.31520000,2017-12-25
58.19890000,2017-12-26
57.73430000,2017-12-27
57.45440000,2017-12-28
57.62910000,2017-12-29
57.60020000,2017-12-30
57.60020000,2017-12-31
57.60020000,2018-01-01
57.60020000,2018-01-02
57.60020000,2018-01-03
57.60020000,2018-01-04
57.60020000,2018-01-05
57.60020000,2018-01-06
57.60020000,2018-01-07
57.60020000,2018-01-08
57.60020000,2018-01-09
57.04630000,2018-01-10
56.87340000,2018-01-11
56.99570000,2018-01-12
56.60190000,2018-01-13
56.60190000,2018-01-14
56.60190000,2018-01-15
56.35690000,2018-01-16
56.38780000,2018-01-17
56.59250000,2018-01-18
56.75970000,2018-01-19
56.58920000,2018-01-20
56.58920000,2018-01-21
56.58920000,2018-01-22
56.62610000,2018-01-23
56.41150000,2018-01-24
56.38880000,2018-01-25
55.92880000,2018-01-26
55.82880000,2018-01-27
55.82880000,2018-01-28
55.82880000,2018-01-29
56.29080000,2018-01-30
56.29140000,2018-01-31
56.18400000,2018-02-01
56.26130000,2018-02-02
56.04080000,2018-02-03
56.04080000,2018-02-04
56.04080000,2018-02-05
56.62780000,2018-02-06
57.21960000,2018-02-07
56.95330000,2018-02-08
57.67360000,2018-02-09
58.17180000,2018-02-10
58.17180000,2018-02-11
58.17180000,2018-02-12
58.01710000,2018-02-13
57.77010000,2018-02-14
57.58990000,2018-02-15
56.59180000,2018-02-16
56.35540000,2018-02-17
56.35540000,2018-02-18
56.35540000,2018-02-19
56.34380000,2018-02-20
56.52010000,2018-02-21
56.65370000,2018-02-22
56.76080000,2018-02-23
56.76080000,2018-02-24
56.76080000,2018-02-25
56.76080000,2018-02-26
55.92080000,2018-02-27
55.67170000,2018-02-28
56.37420000,2018-03-01
56.43340000,2018-03-02
56.66160000,2018-03-03
56.66160000,2018-03-04
56.66160000,2018-03-05
57.10000000,2018-03-06
56.50410000,2018-03-07
56.80110000,2018-03-08
56.80110000,2018-03-09
56.80110000,2018-03-10
56.80110000,2018-03-11
56.80110000,2018-03-12
56.61220000,2018-03-13
56.93590000,2018-03-14
56.93720000,2018-03-15
57.01880000,2018-03-16
57.49420000,2018-03-17
57.49420000,2018-03-18
57.49420000,2018-03-19
57.55210000,2018-03-20
57.70330000,2018-03-21
57.49540000,2018-03-22
56.83910000,2018-03-23
57.10720000,2018-03-24
57.10720000,2018-03-25
57.10720000,2018-03-26
57.00390000,2018-03-27
57.17470000,2018-03-28
57.55980000,2018-03-29
57.76260000,2018-03-30
57.26490000,2018-03-31
57.26490000,2018-04-01
57.26490000,2018-04-02
57.28500000,2018-04-03
57.53750000,2018-04-04
57.76460000,2018-04-05
57.57960000,2018-04-06
57.83320000,2018-04-07
57.83320000,2018-04-08
57.83320000,2018-04-09
58.57140000,2018-04-10
62.36990000,2018-04-11
64.06260000,2018-04-12
62.06590000,2018-04-13
61.43110000,2018-04-14
61.43110000,2018-04-15
61.43110000,2018-04-16
62.27940000,2018-04-17
61.14540000,2018-04-18
61.55390000,2018-04-19
60.85830000,2018-04-20
61.32220000,2018-04-21
61.32220000,2018-04-22
61.32220000,2018-04-23
61.76550000,2018-04-24
61.66440000,2018-04-25
61.74940000,2018-04-26
62.60270000,2018-04-27
62.72600000,2018-04-28
61.99970000,2018-04-29
61.99970000,2018-04-30
61.99970000,2018-05-01
61.99970000,2018-05-02
61.99970000,2018-05-03
63.48600000,2018-05-04
63.20120000,2018-05-05
63.20120000,2018-05-06
63.20120000,2018-05-07
62.71480000,2018-05-08
63.00660000,2018-05-09
63.00660000,2018-05-10
62.52290000,2018-05-11
61.73540000,2018-05-12
61.73540000,2018-05-13
61.73540000,2018-05-14
61.76840000,2018-05-15
61.91640000,2018-05-16
62.30330000,2018-05-17
61.82150000,2018-05-18
61.94080000,2018-05-19
61.94080000,2018-05-20
61.94080000,2018-05-21
62.53270000,2018-05-22
61.26100000,2018-05-23
61.59450000,2018-05-24
61.40900000,2018-05-25
61.66590000,2018-05-26
61.66590000,2018-05-27
61.66590000,2018-05-28
62.27100000,2018-05-29
62.64200000,2018-05-30
62.59370000,2018-05-31
62.01880000,2018-06-01
62.20560000,2018-06-02
62.20560000,2018-06-03
62.20560000,2018-06-04
61.92900000,2018-06-05
61.98220000,2018-06-06
62.00640000,2018-06-07
61.81250000,2018-06-08
62.66800000,2018-06-09
62.34310000,2018-06-10
62.34310000,2018-06-11
62.34310000,2018-06-12
62.34310000,2018-06-13
63.11640000,2018-06-14
62.25110000,2018-06-15
62.68510000,2018-06-16
62.68510000,2018-06-17
62.68510000,2018-06-18
63.48380000,2018-06-19
64.06830000,2018-06-20
63.61750000,2018-06-21
63.78730000,2018-06-22
63.23960000,2018-06-23
63.23960000,2018-06-24
63.23960000,2018-06-25
62.94970000,2018-06-26
62.79080000,2018-06-27
63.13590000,2018-06-28
63.29100000,2018-06-29
62.75650000,2018-06-30
62.75650000,2018-07-01
62.75650000,2018-07-02
63.13940000,2018-07-03
63.21940000,2018-07-04
63.22670000,2018-07-05
63.26040000,2018-07-06
63.12160000,2018-07-07
63.12160000,2018-07-08
63.12160000,2018-07-09
62.83380000,2018-07-10
62.44420000,2018-07-11
62.09800000,2018-07-12
62.20620000,2018-07-13
62.29340000,2018-07-14
62.29340000,2018-07-15
62.29340000,2018-07-16
62.25560000,2018-07-17
62.43520000,2018-07-18
62.90060000,2018-07-19
63.27460000,2018-07-20
63.48880000,2018-07-21
63.48880000,2018-07-22
63.48880000,2018-07-23
63.19570000,2018-07-24
62.92350000,2018-07-25
63.08360000,2018-07-26
62.94710000,2018-07-27
62.97260000,2018-07-28
62.97260000,2018-07-29
62.97260000,2018-07-30
62.78050000,2018-07-31
62.34970000,2018-08-01
62.55900000,2018-08-02
63.13580000,2018-08-03
63.45490000,2018-08-04
63.45490000,2018-08-05
63.45490000,2018-08-06
63.49750000,2018-08-07
63.54250000,2018-08-08
63.59500000,2018-08-09
66.28560000,2018-08-10
66.90750000,2018-08-11
66.90750000,2018-08-12
66.90750000,2018-08-13
68.22340000,2018-08-14
66.75350000,2018-08-15
66.37720000,2018-08-16
66.89320000,2018-08-17
66.87570000,2018-08-18
66.87570000,2018-08-19
66.87570000,2018-08-20
67.18070000,2018-08-21
67.17830000,2018-08-22
67.61630000,2018-08-23
68.52590000,2018-08-24
67.79110000,2018-08-25
67.79110000,2018-08-26
67.79110000,2018-08-27
67.39630000,2018-08-28
67.39110000,2018-08-29
68.14510000,2018-08-30
68.08210000,2018-08-31
68.04470000,2018-09-01
68.04470000,2018-09-02
68.04470000,2018-09-03
67.74430000,2018-09-04
68.27370000,2018-09-05
68.46280000,2018-09-06
68.25050000,2018-09-07
69.02860000,2018-09-08
69.02860000,2018-09-09
69.02860000,2018-09-10
69.86850000,2018-09-11
69.97440000,2018-09-12
69.57280000,2018-09-13
68.63700000,2018-09-14
68.28260000,2018-09-15
68.28260000,2018-09-16
68.28260000,2018-09-17
68.19580000,2018-09-18
67.75190000,2018-09-19
67.00980000,2018-09-20
66.47250000,2018-09-21
66.24970000,2018-09-22
66.24970000,2018-09-23
66.24970000,2018-09-24
66.15940000,2018-09-25
65.82440000,2018-09-26
65.75850000,2018-09-27
65.83550000,2018-09-28
65.59060000,2018-09-29
65.59060000,2018-09-30
65.59060000,2018-10-01
65.57450000,2018-10-02
65.22210000,2018-10-03
65.42440000,2018-10-04
66.21150000,2018-10-05
66.62700000,2018-10-06
66.62700000,2018-10-07
66.62700000,2018-10-08
66.96850000,2018-10-09
66.40320000,2018-10-10
66.18320000,2018-10-11
66.77270000,2018-10-12
65.97510000,2018-10-13
65.97510000,2018-10-14
65.97510000,2018-10-15
65.75080000,2018-10-16
65.53050000,2018-10-17
65.40260000,2018-10-18
65.72380000,2018-10-19
65.81400000,2018-10-20
65.81400000,2018-10-21
65.81400000,2018-10-22
65.30650000,2018-10-23
65.31010000,2018-10-24
65.62990000,2018-10-25
65.74760000,2018-10-26
65.63450000,2018-10-27
65.63450000,2018-10-28
65.63450000,2018-10-29
65.81290000,2018-10-30
65.77420000,2018-10-31
65.59620000,2018-11-01
65.65170000,2018-11-02
65.57990000,2018-11-03
65.57990000,2018-11-04
65.57990000,2018-11-05
65.57990000,2018-11-06
65.99120000,2018-11-07
66.09180000,2018-11-08
66.21550000,2018-11-09
66.84970000,2018-11-10
66.84970000,2018-11-11
66.84970000,2018-11-12
67.52380000,2018-11-13
67.68120000,2018-11-14
67.99750000,2018-11-15
66.61590000,2018-11-16
65.99310000,2018-11-17
65.99310000,2018-11-18
65.99310000,2018-11-19
66.00810000,2018-11-20
65.58710000,2018-11-21
65.94850000,2018-11-22
65.60670000,2018-11-23
65.66640000,2018-11-24
65.66640000,2018-11-25
65.66640000,2018-11-26
66.50720000,2018-11-27
66.78000000,2018-11-28
66.94360000,2018-11-29
66.63420000,2018-11-30
66.53350000,2018-12-01
66.53350000,2018-12-02
66.53350000,2018-12-03
66.29210000,2018-12-04
66.44670000,2018-12-05
66.82420000,2018-12-06
66.73770000,2018-12-07
66.92270000,2018-12-08
66.92270000,2018-12-09
66.92270000,2018-12-10
66.24160000,2018-12-11
66.50220000,2018-12-12
66.42250000,2018-12-13
66.25500000,2018-12-14
66.43370000,2018-12-15
66.43370000,2018-12-16
66.43370000,2018-12-17
66.62080000,2018-12-18
66.74540000,2018-12-19
67.11210000,2018-12-20
67.37100000,2018-12-21
68.00850000,2018-12-22
68.00850000,2018-12-23
68.00850000,2018-12-24
68.40730000,2018-12-25
68.74480000,2018-12-26
68.88650000,2018-12-27
68.87620000,2018-12-28
69.52180000,2018-12-29
69.47060000,2018-12-30
69.47060000,2018-12-31
69.47060000,2019-01-01
69.47060000,2019-01-02
69.47060000,2019-01-03
69.47060000,2019-01-04
69.47060000,2019-01-05
69.47060000,2019-01-06
69.47060000,2019-01-07
69.47060000,2019-01-08
69.47060000,2019-01-09
67.07950000,2019-01-10
66.86050000,2019-01-11
66.91670000,2019-01-12
66.91670000,2019-01-13
66.91670000,2019-01-14
67.19200000,2019-01-15
67.08200000,2019-01-16
66.76170000,2019-01-17
66.44380000,2019-01-18
66.33090000,2019-01-19
66.33090000,2019-01-20
66.33090000,2019-01-21
66.36340000,2019-01-22
66.54990000,2019-01-23
66.33180000,2019-01-24
66.00160000,2019-01-25
65.91700000,2019-01-26
65.91700000,2019-01-27
65.91700000,2019-01-28
65.93000000,2019-01-29
66.34120000,2019-01-30
66.09870000,2019-01-31
65.35770000,2019-02-01
65.66010000,2019-02-02
65.66010000,2019-02-03
65.66010000,2019-02-04
65.58590000,2019-02-05
65.56910000,2019-02-06
65.66860000,2019-02-07
66.01990000,2019-02-08
66.06280000,2019-02-09
66.06280000,2019-02-10
66.06280000,2019-02-11
65.65170000,2019-02-12
65.71470000,2019-02-13
65.67830000,2019-02-14
66.54290000,2019-02-15
66.70440000,2019-02-16
66.70440000,2019-02-17
66.70440000,2019-02-18
66.24700000,2019-02-19
66.20220000,2019-02-20
65.85680000,2019-02-21
65.54010000,2019-02-22
65.51490000,2019-02-23
65.51490000,2019-02-24
65.51490000,2019-02-25
65.25820000,2019-02-26
65.61820000,2019-02-27
65.75700000,2019-02-28
65.88950000,2019-03-01
65.81450000,2019-03-02
65.81450000,2019-03-03
65.81450000,2019-03-04
65.79560000,2019-03-05
65.80040000,2019-03-06
65.84300000,2019-03-07
65.96460000,2019-03-08
65.96460000,2019-03-09
65.96460000,2019-03-10
65.96460000,2019-03-11
66.07630000,2019-03-12
65.76740000,2019-03-13
65.58900000,2019-03-14
65.40210000,2019-03-15
65.42010000,2019-03-16
65.42010000,2019-03-17
65.42010000,2019-03-18
64.66940000,2019-03-19
64.31670000,2019-03-20
64.28030000,2019-03-21
63.74200000,2019-03-22
63.77050000,2019-03-23
63.77050000,2019-03-24
63.77050000,2019-03-25
64.49930000,2019-03-26
64.16830000,2019-03-27
64.59250000,2019-03-28
64.80120000,2019-03-29
64.73470000,2019-03-30
64.73470000,2019-03-31
64.73470000,2019-04-01
65.41760000,2019-04-02
65.47260000,2019-04-03
65.16390000,2019-04-04
65.32810000,2019-04-05
65.40720000,2019-04-06
65.40720000,2019-04-07
65.40720000,2019-04-08
65.34980000,2019-04-09
64.77660000,2019-04-10
64.73730000,2019-04-11
64.39910000,2019-04-12
64.51710000,2019-04-13
64.51710000,2019-04-14
64.51710000,2019-04-15
64.24690000,2019-04-16
64.24220000,2019-04-17
63.94500000,2019-04-18
64.06880000,2019-04-19
63.96020000,2019-04-20
63.96020000,2019-04-21
63.96020000,2019-04-22
63.78600000,2019-04-23
63.79060000,2019-04-24
63.97980000,2019-04-25
64.67940000,2019-04-26
64.70530000,2019-04-27
64.70530000,2019-04-28
64.70530000,2019-04-29
64.69170000,2019-04-30
64.63140000,2019-05-01
64.63140000,2019-05-02
64.63140000,2019-05-03
64.63140000,2019-05-04
64.63140000,2019-05-05
64.63140000,2019-05-06
65.33500000,2019-05-07
65.21660000,2019-05-08
65.22870000,2019-05-09
65.22870000,2019-05-10
65.22870000,2019-05-11
65.22870000,2019-05-12
65.22870000,2019-05-13
65.47030000,2019-05-14
65.30010000,2019-05-15
64.84890000,2019-05-16
64.55980000,2019-05-17
64.63270000,2019-05-18
64.63270000,2019-05-19
64.63270000,2019-05-20
64.48880000,2019-05-21
64.53720000,2019-05-22
64.41560000,2019-05-23
64.49130000,2019-05-24
64.61060000,2019-05-25
64.61060000,2019-05-26
64.61060000,2019-05-27
64.46360000,2019-05-28
64.53940000,2019-05-29
64.90840000,2019-05-30
65.05830000,2019-05-31
65.38340000,2019-06-01
65.38340000,2019-06-02
