date,balance
2017-07-25,0.0311473508244909
2017-07-26,-0.5618687674371708
2017-07-27,0.1951237766429597
2017-07-28,-0.2462296931598604
2017-07-29,0.0
2017-07-30,0.0
2017-07-31,-0.0341402027074338
2017-08-01,-0.1539268533204534
2017-08-02,0.2160990859962225
2017-08-03,0.3186588320366168
2017-08-04,0.1845790887426209
2017-08-05,0.0
2017-08-06,0.0
2017-08-07,0.1674088705961078
2017-08-08,0.0581871039896785
2017-08-09,-0.0981765552968926
2017-08-10,-0.085832359251501
2017-08-11,0.116758034382925
2017-08-12,0.0
2017-08-13,0.0
2017-08-14,-0.0345603700255318
2017-08-15,0.0095312486543229
2017-08-16,-0.179946675660284
2017-08-17,0.1818841090477451
2017-08-18,0.1155757045843089
2017-08-19,0.0
2017-08-20,0.0
2017-08-21,0.0786879023801842
2017-08-22,-0.0764810932217071
2017-08-23,0.0686333626256296
2017-08-24,-0.006607554462199
2017-08-25,-0.2305446616764388
2017-08-26,0.0
2017-08-27,0.0
2017-08-28,-0.0251628312673532
2017-08-29,-0.056786401281448
2017-08-30,-0.1002835410089534
2017-08-31,0.2351032517242118
2017-09-01,-0.2655316026191961
2017-09-02,0.0
2017-09-03,0.0
2017-09-04,-0.0474586944064677
2017-09-05,0.1059746598332289
2017-09-06,0.1571907254337419
2017-09-07,0.2446788000282798
2017-09-08,0.1196323098762662
2017-09-09,0.0
2017-09-10,0.0
2017-09-11,0.2819708596800331
2017-09-12,-0.211711240065958
2017-09-13,-0.0426776514076655
2017-09-14,0.1123206914026516
2017-09-15,0.1696754822305282
2017-09-16,0.0
2017-09-17,0.0
2017-09-18,-0.0324786147355153
2017-09-19,0.1665036633540839
2017-09-20,0.0920160480836889
2017-09-21,0.2978683535628851
2017-09-22,-0.3432410557010977
2017-09-23,0.0
2017-09-24,0.0
2017-09-25,-0.0092437142999933
2017-09-26,-0.0073400991258817
2017-09-27,-0.0002223484311571
2017-09-28,0.504844397249734
2017-09-29,0.1336820068551482
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,-0.251222993324913
2017-10-03,-0.1231229627839138
2017-10-04,0.1672384748496445
2017-10-05,0.2375712667746679
2017-10-06,-0.1454015060833627
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,-0.0280131779570517
2017-10-10,0.3135953828756495
2017-10-11,0.0260781412038511
2017-10-12,0.1869930878078576
2017-10-13,-0.0017434349141278
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.2208299656449038
2017-10-17,-0.0967823788642213
2017-10-18,-0.058007830930528
2017-10-19,0.1326465459598661
2017-10-20,0.1731576209435128
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0014250466090483
2017-10-24,0.0452883523808605
2017-10-25,0.1068226364592813
2017-10-26,-0.09009036918402
2017-10-27,0.0421993789250732
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,-0.2806130590674643
2017-10-31,0.5564525790968929
2017-11-01,-0.566744136195449
2017-11-02,0.3654260888016775
2017-11-03,-0.4678372935654837
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,-0.3913195867944722
2017-11-08,-0.1719451002999579
2017-11-09,-0.1109021992819767
2017-11-10,0.0
